formula,source,is_train,m,V,Tmax
Cl3Ti1,FactSage,1,20.367603828612573,29.20964451769164,1100
Mn1O1,FactSage,1,12.390857285217983,11.346659723078716,1800
Ba1C2,FactSage,1,11.044722122411153,23.87241205352832,1400
I1Na1,FactSage/PhononDB,1,19.463753243050466,34.837548058089475,1500
K1Li1Te1,PhononDB,0,14.13514930141815,30.527124830853968,1000
O1S1Zr1,PhononDB,0,16.00372940791091,14.060815221927914,1000
Cl4K2Pt1,PhononDB,0,25.662551619814874,30.73888016448492,1000
Co1I2,FactSage,1,40.24418772632367,29.85507324526848,700
Br1Na1,FactSage,1,17.853117223747986,27.374259408509875,1800
La2O3,FactSage,0,14.346896754879301,18.52835831234017,1800
Al2O4Sr1,FactSage,1,13.556751852523735,14.166644063009025,800
H1Rb1,PhononDB,0,0.9961916987585188,27.50258660108685,1000
Cl3La1,FactSage/PhononDB,1,28.24420074292921,27.379482406621193,1100
Ag1Er1Te2,PhononDB,0,65.45724841429559,29.52040718456172,1000
F3In1,FactSage,1,16.301130552413472,16.04592977928967,1400
Ba1S3,PhononDB,0,25.995266925238496,25.813777111803397,1000
F1Ho1S1,PhononDB,0,18.60391119400755,16.171139534419407,1000
Mg1O1,FactSage/PhononDB,1,9.648212527664473,9.6396836597384,1800
Cl1La1O1,PhononDB,0,17.871799391905547,19.81840732686863,1000
F2Mg1,FactSage/PhononDB,1,10.663277148064893,11.364356530467555,1500
F1Pr1S1,PhononDB,0,18.26402353318466,18.63416934935444,1000
I4Zr1,FactSage,1,53.07300496482648,47.732712497780895,900
C1Ta2,FactSage,1,11.263094402518925,14.013592701003166,1800
Se1Sn1,FactSage,1,47.419140992563364,28.131435520905328,1300
Hf1I4,FactSage,1,74.17023252025488,47.320396243565156,700
Ca1S1,FactSage/PhononDB,1,17.813246884659637,23.34756493261941,1800
Pb1Se1,FactSage,1,57.17260273972602,30.179643925150113,1400
Br2Zn1,FactSage,1,35.96678023301425,32.565559742157824,800
Ag1Tb1Te2,PhononDB,0,64.52472157489647,30.255333310169807,1000
Mg1O6V2,FactSage,1,11.905773196758453,13.003050027446857,1700
As2O6Sr1,PhononDB,0,17.85205783168755,13.00715501749166,1000
Ca1Se1,FactSage,1,26.584442614963287,26.52568835573786,1700
Cu1F1,FactSage,1,14.625734549464884,14.230793356498715,1700
F3K1Mg1,PhononDB,0,12.377164680206025,13.319965701579235,1000
Mg1Se1,PhononDB,0,18.584445843218905,20.92113426413336,1000
C1Ti1,FactSage,1,9.60150735415689,10.187611185638938,1800
Al2O4Zn1,FactSage,1,12.988786766950946,9.766595296280515,1800
I1K3O1,PhononDB,0,19.338828945291414,31.164179667513576,1000
C1Si1,FactSage/PhononDB,0,8.412929775140787,10.496380229964556,1800
Ca1O3Ti1,FactSage,1,13.733140334707516,11.457482218008705,1500
Ba1Na1P1,PhononDB,0,19.38732217184717,28.98787695852184,1000
P2Zn1,FactSage,1,21.01997034135627,20.200897521394406,1200
Br1Cs1,FactSage,1,49.902281753950604,50.69609542264056,1500
F3V1,FactSage,1,13.837696541347224,13.857676487718587,900
Co1S2,FactSage,1,20.76626792075381,13.913045057057635,900
C2Cr3,FactSage,0,9.75692517466894,8.797798234064285,1800
Fe2Mn1O4,FactSage,1,15.689604853653517,11.36225931065774,500
